district,name,covid_vax_rate,covid_death_rate,percent_uninsured,percent_severe_crowding,percent_area_median_income,percent_poc,percent_lim_engl_prof,percent_rent_burden,rate_eviction_filings,rate_tenant_cases,rate_housing_violations,rate_unplanned_outages,change_median_gross_rent,change_sale_price,num_new_nonaffordable_units,expiring_lihtc_units,rate_forclosure_filings,share_nonbank_small_home_loans,total_risk_score
BX 1,Mott Haven/Melrose,0.764,0.005699999999999999,0.087,0.064,0.27,0.836,0.19899999999999998,0.643,0.083,0.0079,0.09539999999999998,0.326,0.14,NA,686,112,0.0053,0.5489999999999999,18
BX 2,Hunts Point/Longwood,0.71,0.0058,0.084,0.038,0.27,0.867,0.24100000000000002,0.609,0.0987,0.0086,0.1945,0.002,0.14,NA,229,0,0.0022,0.5489999999999999,17
BX 3,Morrisania/Crotona ,0.728,0.0055000000000000005,0.076,0.033,0.29,0.9059999999999999,0.19399999999999998,0.605,0.0967,0.0088,0.1277,0.32799999999999996,0.09699999999999999,0.063,569,0,0.0034999999999999996,0.696,16
BX 4,Highbridge/S. Concourse,0.725,0.0055000000000000005,0.08199999999999999,0.086,0.35,0.851,0.231,0.621,0.0998,0.0086,0.2122,0.233,0.066,NA,119,100,0.0092,0.389,18
BX 5,University Hts/Fordham,0.72,0.004699999999999999,0.10099999999999999,0.073,0.34,0.883,0.248,0.629,0.1213,0.0084,0.1852,0.174,0.08900000000000001,0.191,147,103,0.0049,0.727,23
BX 6,Belmont / East Tremont,0.7040000000000001,0.004699999999999999,0.08199999999999999,0.042,0.29,0.8109999999999999,0.221,0.635,0.10880000000000001,0.0091,0.2443,0.56,0.09699999999999999,0.20800000000000002,589,253,0.0054,0.696,23
BX 7,Kingsbridge Hts/Bedford ,0.732,0.0053,0.08800000000000001,0.076,0.39,0.8340000000000001,0.263,0.625,0.1003,0.0072,0.1837,0.36,0.106,0.358,720,0,0.0034999999999999996,0.40700000000000003,21
BX 8,Riverdale/Fieldston,0.777,0.0069,0.052000000000000005,0.034,0.66,0.5589999999999999,0.115,0.542,0.065,0.0048,0.0721,0.209,0.059000000000000004,0.18100000000000002,14,288,9e-4,0.361,8
BX 9,Parkchester/Soundview,0.745,0.0053,0.084,0.045,0.45,0.851,0.163,0.568,0.0722,0.0063,0.09300000000000001,0.128,0.09699999999999999,0.18,32,0,0.0031,0.718,12
BX 10,Throgs Neck/Co-op City,0.7759999999999999,0.0064,0.055,0.016,0.64,0.634,0.09300000000000001,0.518,0.030600000000000002,0.0033,0.036699999999999997,0.09300000000000001,0.069,0.102,43,0,0.0014000000000000002,0.629,2
BX 11,Morris Park/Bronxdale,0.7659999999999999,0.0083,0.066,0.028999999999999998,0.56,0.688,0.14400000000000002,0.57,0.06309999999999999,0.0063,0.08529999999999999,0.11900000000000001,0.087,0.136,99,0,0.0016,0.69,7
BX 12,Williamsbridge/Baychester ,0.723,0.005600000000000001,0.07400000000000001,0.033,0.56,0.877,0.065,0.598,0.087,0.01,0.18350000000000002,0.134,0.09300000000000001,0.132,385,0,0.0045000000000000005,0.745,13
BK 1,Greenpoint/Williamsburg ,0.608,0.0029,0.054000000000000006,0.038,0.94,0.318,0.106,0.462,0.0167,0.0023,0.0421,0.10400000000000001,0.259,0.18600000000000003,648,440,0.0068000000000000005,0.18100000000000002,9
BK 2,Brooklyn Hts/Ft. Greene,0.78,0.0038,0.03,0.034,1.22,0.466,0.042,0.41,0.0219,0.0026,0.0199,0.21600000000000003,0.336,0.22,1585,148,0.01,0.14800000000000002,9
BK 3,Bedford Stuyvesant,0.737,0.0048,0.066,0.024,0.61,0.691,0.047,0.509,0.0429,0.0069,0.11410000000000001,0.177,0.248,0.156,780,367,0.0171,0.391,12
BK 4,Bushwick ,0.8220000000000001,0.0045000000000000005,0.109,0.039,0.6,0.6809999999999999,0.13699999999999998,0.5589999999999999,0.0378,0.0054,0.1985,NA,0.24100000000000002,0.071,217,839,0.013300000000000001,0.331,11
BK 5,E. New York/Starrett City,0.775,0.0067,0.05,0.047,0.42,0.826,0.11199999999999999,0.586,0.0583,0.0074,0.0924,0.045,0.105,0.14,442,703,0.0163,0.647,13
BK 6,Park Slope/Carroll Gdns/Gowanus/Red Hook,0.873,0.0026,0.034,0.015,1.5,0.325,0.039,0.35700000000000004,0.0101,0.0079,0.0349,0.134,0.142,0.141,355,0,0.004699999999999999,0.14,4
BK 7,Sunset Park ,0.8959999999999999,0.0037,0.106,0.053,0.62,0.578,0.264,0.508,0.016200000000000003,0.0024,0.122,NA,0.121,0.062,121,1009,0.004,0.23600000000000002,9
BK 8,Crown Heights,0.8079999999999999,0.0053,0.059000000000000004,0.017,0.72,0.6779999999999999,0.034,0.486,0.0496,0.0064,0.1564,0.057999999999999996,0.191,0.09300000000000001,418,671,0.0172,0.17300000000000001,7
BK 9,S. Crown Hts/Prospect Hts,0.695,0.0059,0.064,0.033,0.62,0.6990000000000001,0.043,0.525,0.0857,0.0073,0.2027,0.004,0.121,0.22699999999999998,507,0,0.0143,0.23399999999999999,13
BK 10,Bay Ridge,0.7559999999999999,0.0042,0.064,0.037000000000000005,0.76,0.409,0.147,0.494,0.0263,0.0025,0.0676,NA,0.095,0.133,9,1280,0.0037,0.28800000000000003,NA
BK 11,Bensonhurst,0.747,0.0052,0.086,0.05,0.57,0.568,0.321,0.584,0.0253,0.0023,0.09230000000000001,NA,0.146,0.079,181,500,0.0033,0.239,8
BK 12,Borough Park ,0.509,0.0045000000000000005,0.055,0.075,0.48,0.319,0.25,0.628,0.021099999999999997,0.0024,0.0809,NA,0.071,0.11699999999999999,115,25,0.0078000000000000005,0.62,9
BK 13,Coney Island ,0.68,0.011000000000000001,0.073,0.051,0.43,0.40299999999999997,0.43799999999999994,0.623,0.035699999999999996,0.0023,0.032799999999999996,0.18100000000000002,0.128,0.07200000000000001,153,0,0.0092,0.39399999999999996,12
BK 14,Flatbush/Midwood,0.703,0.0064,0.08900000000000001,0.061,0.65,0.574,0.149,0.5329999999999999,0.0673,0.005600000000000001,0.1721,NA,0.11199999999999999,0.078,317,0,0.0104,0.41100000000000003,10
BK 15,Sheepshead Bay ,0.635,0.006500000000000001,0.055999999999999994,0.040999999999999995,0.67,0.33,0.27399999999999997,0.547,0.0351,0.0026,0.0414,0.098,0.1,0.084,32,0,0.006,0.401,7
BK 16,Brownsville ,0.7509999999999999,0.0069,0.068,0.017,0.34,0.903,0.066,0.616,0.0633,0.008199999999999999,0.0888,0.126,0.019,0.165,329,0,0.022799999999999997,0.49700000000000005,11
