Community District,Name,"COVID Primary Series Vaccination Rate as of March 23, 2023","COVID-19 Death Rate (per 1,000 People), March 1, 2020 - Decenber 31, 2022","Percent Uninsured, 2021","Percent with Severe Crowding, 2021","Percent of Area Median Income, 2021","Percent People of Color, 2021","Percent Limited English Proficiency, 2021","Percent with Rent Burden, 2021","Rate of Eviction Filings (per 1,000 Renter households), 2022","Rate of Tenant-Initiated Cases (per 1,000 Renter Households), 2022","Rate of Immediately Hazardous Housing Code Violations in 6+ Unit Buildings (per 1,000 Units), 2022","Rate of Unplanned NYCHA Service Outages (per Building), 2022",Change in Median Gross Rent. 2016-2021,"Change in Residential Sale Price per Square Foot, 2020-2022"," Number of New Non-Affordable Units, 2022 ","Expiring LIHTC units, 2023-2027","Rate of Foreclosure Filings per 1,000 Small (1-4 Unit) Homes, 2022","Share of Non-Bank Small (1-4 Unit) Home Purchase Loans, 2021",Total Risk Score
BX 1,Mott Haven/Melrose,76.40%,5.7,8.70%,6.40%,27%  AMI,83.60%,19.90%,64.30%,83,7.9,95.4,32.6,14.00%,NA,686,112,5.3,54.90%,18
BX 2,Hunts Point/Longwood,71.00%,5.8,8.40%,3.80%,27%  AMI,86.70%,24.10%,60.90%,98.7,8.6,194.5,0.2,14.00%,NA,229,0,2.2,54.90%,17
BX 3,Morrisania/Crotona ,72.80%,5.5,7.60%,3.30%,29%  AMI,90.60%,19.40%,60.50%,96.7,8.8,127.7,32.8,9.70%,6.3%,569,0,3.5,69.60%,16
BX 4,Highbridge/S. Concourse,72.50%,5.5,8.20%,8.60%,35%  AMI,85.10%,23.10%,62.10%,99.8,8.6,212.2,23.3,6.60%,NA,119,100,9.2,38.90%,18
BX 5,University Hts/Fordham,72.00%,4.7,10.10%,7.30%,34%  AMI,88.30%,24.80%,62.90%,121.3,8.4,185.2,17.4,8.90%,19.1%,147,103,4.9,72.70%,23
BX 6,Belmont / East Tremont,70.40%,4.7,8.20%,4.20%,29%  AMI,81.10%,22.10%,63.50%,108.8,9.1,244.3,56,9.70%,20.8%,589,253,5.4,69.60%,23
BX 7,Kingsbridge Hts/Bedford ,73.20%,5.3,8.80%,7.60%,39%  AMI,83.40%,26.30%,62.50%,100.3,7.2,183.7,36,10.60%,35.8%,720,0,3.5,40.70%,21
BX 8,Riverdale/Fieldston,77.70%,6.9,5.20%,3.40%,66%  AMI,55.90%,11.50%,54.20%,65,4.8,72.1,20.9,5.90%,18.1%,14,288,0.9,36.10%,8
BX 9,Parkchester/Soundview,74.50%,5.3,8.40%,4.50%,45%  AMI,85.10%,16.30%,56.80%,72.2,6.3,93,12.8,9.70%,18.0%,32,0,3.1,71.80%,12
BX 10,Throgs Neck/Co-op City,77.60%,6.4,5.50%,1.60%,64%  AMI,63.40%,9.30%,51.80%,30.6,3.3,36.7,9.3,6.90%,10.2%,43,0,1.4,62.90%,2
BX 11,Morris Park/Bronxdale,76.60%,8.3,6.60%,2.90%,56%  AMI,68.80%,14.40%,57.00%,63.1,6.3,85.3,11.9,8.70%,13.6%,99,0,1.6,69.00%,7
BX 12,Williamsbridge/Baychester ,72.30%,5.6,7.40%,3.30%,56%  AMI,87.70%,6.50%,59.80%,87,10,183.5,13.4,9.30%,13.2%,385,0,4.5,74.50%,13
