GEOID,name,parent-location,year,population,poverty-rate,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,households-threatened,households-threatened-lower,households-threatened-upper,households-threatened-rate,households-threatened-rate-lower,households-threatened-rate-upper,eviction-filings,filings-per-day,eviction-filings-lower,eviction-filings-upper,eviction-filing-rate,eviction-filing-rate-lower,eviction-filing-rate-upper
36085,Richmond County,New York,2000,443728,10.05,34.54,742,55039,209100,25.2,71.29,8.95,12.07,0.13,5.59,0.03,1.76,0.19,3906.6,3860.02,3954.82,6.9,6.81,6.98,5070.74,13.85,5009.26,5133.49,8.95,8.84,9.06
36085,Richmond County,New York,2001,443728,10.05,34.44,742,55039,209100,25.2,71.29,8.95,12.07,0.13,5.59,0.03,1.76,0.19,4186.79,4136.88,4238.46,7.36,7.27,7.45,5475.67,15,5409.3,5543.43,9.62,9.5,9.74
36085,Richmond County,New York,2002,443728,10.05,34.34,742,55039,209100,25.2,71.29,8.95,12.07,0.13,5.59,0.03,1.76,0.19,4316.72,4265.27,4369.98,7.55,7.46,7.64,6106.13,16.73,6032.13,6181.67,10.68,10.55,10.81
36085,Richmond County,New York,2003,443728,10.05,34.25,742,55039,209100,25.2,71.29,8.95,12.07,0.13,5.59,0.03,1.76,0.19,4890.14,3431.62,6782.27,8.51,5.97,11.8,6587.35,18.05,4436.41,9289.42,11.46,7.72,16.16
36085,Richmond County,New York,2004,443728,10.05,34.15,742,55039,209100,25.2,71.29,8.95,12.07,0.13,5.59,0.03,1.76,0.19,4087.45,4038.72,4137.89,7.08,6.99,7.17,5270.2,14.4,5206.31,5335.42,9.13,9.02,9.24
36085,Richmond County,New York,2005,483168,7.83,34.06,1079,71206,461000,32.6,67.07,9.39,15.05,0.12,7.32,0,0.78,0.26,4397.58,4345.16,4451.84,7.58,7.49,7.67,5775.37,15.82,5705.36,5846.82,9.96,9.83,10.08
36085,Richmond County,New York,2006,483168,7.83,33.97,1079,71206,461000,32.6,67.07,9.39,15.05,0.12,7.32,0,0.78,0.26,4212.35,4162.13,4264.33,7.23,7.14,7.32,5454.62,14.94,5388.5,5522.12,9.36,9.24,9.47
36085,Richmond County,New York,2007,483168,7.83,33.88,1079,71206,461000,32.6,67.07,9.39,15.05,0.12,7.32,0,0.78,0.26,4576.36,3940.18,5080,7.81,6.73,8.67,5798.42,15.89,5728.14,5870.16,9.9,9.78,10.02
36085,Richmond County,New York,2008,483168,7.83,33.79,1079,71206,461000,32.6,67.07,9.39,15.05,0.12,7.32,0,0.78,0.26,4507.14,3168.9,6125.55,7.66,5.39,10.41,5712.38,15.61,3915.02,8098.16,9.71,6.65,13.76
36085,Richmond County,New York,2009,483168,7.83,33.7,1079,71206,461000,32.6,67.07,9.39,15.05,0.12,7.32,0,0.78,0.26,4612.37,3960,5135.27,7.8,6.7,8.69,5894.64,16.15,5823.2,5967.57,9.97,9.85,10.1
