GEOID,name,parent-location,year,population,poverty-rate,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,households-threatened,households-threatened-lower,households-threatened-upper,households-threatened-rate,households-threatened-rate-lower,households-threatened-rate-upper,eviction-filings,filings-per-day,eviction-filings-lower,eviction-filings-upper,eviction-filing-rate,eviction-filing-rate-lower,eviction-filing-rate-upper
36081,Queens County,New York,2000,2229379,14.57,54.8,775,42439,212600,26.3,32.87,18.97,24.97,0.28,17.46,0.04,4.15,1.26,31735.21,31357.49,32126.2,7.09,7,7.17,44059.81,120.38,43526.57,44604.12,9.84,9.72,9.96
36081,Queens County,New York,2001,2229379,14.57,54.64,775,42439,212600,26.3,32.87,18.97,24.97,0.28,17.46,0.04,4.15,1.26,31427.23,31053.18,31814.43,7.02,6.94,7.11,43487.49,119.14,42961.17,44024.73,9.72,9.6,9.84
36081,Queens County,New York,2002,2229379,14.57,54.48,775,42439,212600,26.3,32.87,18.97,24.97,0.28,17.46,0.04,4.15,1.26,31455.48,31081.09,31843.02,7.03,6.95,7.12,46449.33,127.26,45887.18,47023.16,10.39,10.26,10.51
36081,Queens County,New York,2003,2229379,14.57,54.33,775,42439,212600,26.3,32.87,18.97,24.97,0.28,17.46,0.04,4.15,1.26,36377.67,25063,50602.38,8.14,5.61,11.32,52157.33,142.9,34806.7,74622.24,11.67,7.79,16.7
36081,Queens County,New York,2004,2229379,14.57,54.17,775,42439,212600,26.3,32.87,18.97,24.97,0.28,17.46,0.04,4.15,1.26,29973.69,29616.93,30342.98,6.71,6.63,6.79,42443.08,115.96,41929.4,42967.42,9.5,9.39,9.62
36081,Queens County,New York,2005,2278860,9.88,54.01,1136,54870,470500,31,31.07,18.1,26.31,0.31,21.26,0.02,1.2,1.73,30035.6,29678.1,30405.66,6.73,6.65,6.81,41968.98,114.98,41461.04,42487.47,9.4,9.29,9.52
36081,Queens County,New York,2006,2278860,9.88,53.86,1136,54870,470500,31,31.07,18.1,26.31,0.31,21.26,0.02,1.2,1.73,30396.15,30034.36,30770.64,6.82,6.74,6.9,43099.59,118.08,42577.97,43632.05,9.66,9.55,9.78
36081,Queens County,New York,2007,2278860,9.88,53.7,1136,54870,470500,31,31.07,18.1,26.31,0.31,21.26,0.02,1.2,1.73,33515.19,27910.68,38041.03,7.52,6.26,8.54,44846.63,122.87,44303.87,45400.66,10.06,9.94,10.19
36081,Queens County,New York,2008,2278860,9.88,53.55,1136,54870,470500,31,31.07,18.1,26.31,0.31,21.26,0.02,1.2,1.73,28789.39,20183.97,39130.9,6.47,4.53,8.79,37308.36,101.94,25534.7,52689.44,8.38,5.73,11.83
36081,Queens County,New York,2009,2278860,9.88,53.4,1136,54870,470500,31,31.07,18.1,26.31,0.31,21.26,0.02,1.2,1.73,35450.13,29250.45,40563.68,7.97,6.57,9.12,48518.11,132.93,47930.93,49117.49,10.9,10.77,11.04
