GEOID,name,parent-location,year,population,poverty-rate,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,households-threatened,households-threatened-lower,households-threatened-upper,households-threatened-rate,households-threatened-rate-lower,households-threatened-rate-upper,eviction-filings,filings-per-day,eviction-filings-lower,eviction-filings-upper,eviction-filing-rate,eviction-filing-rate-lower,eviction-filing-rate-upper,borough
36005,Bronx County,New York,2000,1332650,30.68,75.92,620,27611,190400,28,14.53,31.24,48.38,0.26,2.89,0.04,2.04,0.62,69479.53,68652.67,70335.44,18.65,18.43,18.88,96330.57,263.2,95164.86,97520.49,25.86,25.55,26.18,Bronx
36047,Kings County,New York,2000,2465326,25.07,69.01,672,32135,224100,28,34.66,34.42,19.79,0.18,7.48,0.03,2.79,0.65,64069.08,63306.59,64858.34,9.97,9.86,10.1,88572.65,242,87500.81,89666.74,13.79,13.62,13.96,Kings
36061,New York County,New York,2000,1537195,20,73.91,796,47030,1000001,24.8,45.79,15.27,27.18,0.16,9.32,0.04,1.88,0.36,54314.47,53668.06,54983.59,9.21,9.1,9.32,73660.19,201.26,72768.79,74570.11,12.49,12.34,12.64,New York
36081,Queens County,New York,2000,2229379,14.57,54.8,775,42439,212600,26.3,32.87,18.97,24.97,0.28,17.46,0.04,4.15,1.26,31735.21,31357.49,32126.2,7.09,7,7.17,44059.81,120.38,43526.57,44604.12,9.84,9.72,9.96,Queens
36085,Richmond County,New York,2000,443728,10.05,34.54,742,55039,209100,25.2,71.29,8.95,12.07,0.13,5.59,0.03,1.76,0.19,3906.6,3860.02,3954.82,6.9,6.81,6.98,5070.74,13.85,5009.26,5133.49,8.95,8.84,9.06,Richmond
36005,Bronx County,New York,2001,1332650,30.68,75.96,620,27611,190400,28,14.53,31.24,48.38,0.26,2.89,0.04,2.04,0.62,71833.87,70978.98,72718.78,19.19,18.96,19.43,98946.61,271.09,97749.25,100168.84,26.43,26.11,26.76,Bronx
36047,Kings County,New York,2001,2465326,25.07,68.71,672,32135,224100,28,34.66,34.42,19.79,0.18,7.48,0.03,2.79,0.65,63550.66,62794.34,64333.54,9.86,9.74,9.98,86023.76,235.68,84982.76,87086.37,13.35,13.19,13.51,Kings
36061,New York County,New York,2001,1537195,20,73.46,796,47030,1000001,24.8,45.79,15.27,27.18,0.16,9.32,0.04,1.88,0.36,55568.49,54907.16,56253.05,9.42,9.31,9.54,74934.14,205.3,74027.32,75859.79,12.7,12.55,12.86,New York
36081,Queens County,New York,2001,2229379,14.57,54.64,775,42439,212600,26.3,32.87,18.97,24.97,0.28,17.46,0.04,4.15,1.26,31427.23,31053.18,31814.43,7.02,6.94,7.11,43487.49,119.14,42961.17,44024.73,9.72,9.6,9.84,Queens
36085,Richmond County,New York,2001,443728,10.05,34.44,742,55039,209100,25.2,71.29,8.95,12.07,0.13,5.59,0.03,1.76,0.19,4186.79,4136.88,4238.46,7.36,7.27,7.45,5475.67,15,5409.3,5543.43,9.62,9.5,9.74,Richmond
